ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,build,controller,trace_2khz
21:07:13,shootout,etk800,StockABS1.pc,straight,1,60,0.0,0.0,1.0,1788754046-0001,33.1086,108.62,1.1060,2.32,60.0,33.11,1.106,0.00,0.2,0.1,0.8,0.0,1.131,0.2777,0,,0,18.2,OK,stock_ref_0,StockABS,
21:07:37,shootout,etk800,StockABS1.pc,straight,2,60,0.0,0.0,1.0,1788754071-0002,32.4988,106.62,1.1268,2.30,60.0,32.50,1.127,0.00,0.2,0.1,0.9,0.0,1.112,0.3153,0,,0,19.6,OK,stock_ref_0,StockABS,
21:08:03,shootout,etk800,StockABS1.pc,straight,3,60,0.0,0.0,1.0,1788754096-0003,33.6542,110.41,1.0881,2.35,60.0,33.65,1.088,0.00,0.2,0.1,0.8,0.0,1.123,0.2871,0,,0,18.2,OK,stock_ref_0,StockABS,
21:08:27,shootout,etk800,StockABS1.pc,straight,1,120,0.0,0.0,1.0,1788754122-0004,126.4381,414.82,1.1597,4.57,120.0,126.44,1.160,0.00,0.2,0.2,1.9,0.0,2.593,0.1667,0,,0,20.8,OK,stock_ref_0,StockABS,
21:08:53,shootout,etk800,StockABS1.pc,straight,2,120,0.0,0.0,1.0,1788754149-0005,125.6358,412.19,1.1671,4.55,120.0,125.64,1.167,0.00,0.2,0.2,2.2,0.0,2.537,0.1890,0,,0,21.1,OK,stock_ref_0,StockABS,
21:09:20,shootout,etk800,StockABS1.pc,straight,3,120,0.0,0.0,1.0,1788754175-0006,124.7462,409.27,1.1754,4.54,120.0,124.75,1.175,0.00,0.2,0.2,1.9,0.0,2.611,0.1651,0,,0,21.0,OK,stock_ref_0,StockABS,
21:10:07,shootout,etk800,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788754222-0001,32.3571,106.16,1.1317,2.26,60.0,32.36,1.132,0.00,0.2,0.1,0.9,0.0,1.059,0.3389,0,,0,19.8,OK,ABS-1F,DynamicABS,
21:10:33,shootout,etk800,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788754247-0002,31.8884,104.62,1.1483,2.25,60.0,31.89,1.148,0.00,0.2,0.1,1.0,0.0,1.112,0.3619,0,,0,19.6,OK,ABS-1F,DynamicABS,
21:10:58,shootout,etk800,DynamicABS1.pc,straight,3,60,0.0,0.0,1.0,1788754272-0003,32.5238,106.71,1.1259,2.27,60.0,32.52,1.126,0.00,0.2,0.1,1.0,0.0,1.042,0.3837,0,,0,20.0,OK,ABS-1F,DynamicABS,
21:11:24,shootout,etk800,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788754300-0004,126.4567,414.88,1.1595,4.54,120.0,126.46,1.159,0.00,0.2,0.2,2.0,0.0,2.450,0.1820,0,,0,21.4,OK,ABS-1F,DynamicABS,
21:11:51,shootout,etk800,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788754327-0005,126.2898,414.34,1.1610,4.54,120.0,126.29,1.161,0.00,0.2,0.2,2.1,0.0,2.440,0.1852,0,,0,21.9,OK,ABS-1F,DynamicABS,
21:12:19,shootout,etk800,DynamicABS1.pc,straight,3,120,0.0,0.0,1.0,1788754355-0006,126.0402,413.52,1.1633,4.54,120.0,126.04,1.163,0.00,0.2,0.2,2.2,0.0,2.433,0.1966,0,,0,21.7,OK,ABS-1F,DynamicABS,
21:13:10,shootout,etk800,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788754404-0001,31.7413,104.14,1.1536,2.25,60.0,31.74,1.154,0.00,0.2,0.1,1.0,0.0,1.145,0.3495,0,8dd7877c-132be163-62802,1,20.6,OK,V1.09,DynamicABS,V1.09_DynamicABS_60mph_rep1_1788754404-0001_2khz.csv
21:13:36,shootout,etk800,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788754430-0002,32.7435,107.43,1.1183,2.28,60.0,32.74,1.118,0.00,0.2,0.1,0.9,0.0,1.137,0.3291,0,8dd7877c-132be163-62802,1,19.5,OK,V1.09,DynamicABS,V1.09_DynamicABS_60mph_rep2_1788754430-0002_2khz.csv
21:14:01,shootout,etk800,DynamicABS1.pc,straight,3,60,0.0,0.0,1.0,1788754454-0003,32.4666,106.52,1.1279,2.28,60.0,32.47,1.128,0.00,0.2,0.1,1.0,0.0,1.118,0.3501,0,8dd7877c-132be163-62802,1,19.1,OK,V1.09,DynamicABS,V1.09_DynamicABS_60mph_rep3_1788754454-0003_2khz.csv
21:14:26,shootout,etk800,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788754481-0004,124.1288,407.25,1.1812,4.51,120.0,124.13,1.181,0.00,0.2,0.2,2.1,0.0,2.511,0.1890,0,8dd7877c-132be163-62802,1,22.0,OK,V1.09,DynamicABS,V1.09_DynamicABS_120mph_rep1_1788754481-0004_2khz.csv
21:14:53,shootout,etk800,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788754509-0005,126.0366,413.51,1.1633,4.55,120.0,126.04,1.163,0.00,0.2,0.2,2.1,0.0,2.502,0.1874,0,8dd7877c-132be163-62802,1,22.0,OK,V1.09,DynamicABS,V1.09_DynamicABS_120mph_rep2_1788754509-0005_2khz.csv
21:15:21,shootout,etk800,DynamicABS1.pc,straight,3,120,0.0,0.0,1.0,1788754538-0006,125.1154,410.48,1.1719,4.53,120.0,125.12,1.172,0.00,0.2,0.2,2.2,0.0,2.501,0.1915,0,8dd7877c-132be163-62802,1,24.6,OK,V1.09,DynamicABS,V1.09_DynamicABS_120mph_rep3_1788754538-0006_2khz.csv
21:16:12,shootout,etk800,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788754585-0001,32.2899,105.94,1.1340,2.27,60.0,32.29,1.134,0.00,0.2,0.1,0.9,0.0,1.109,0.3270,0,96a14840-8590b173-63081,1,19.0,OK,V1.10,DynamicABS,V1.10_DynamicABS_60mph_rep1_1788754585-0001_2khz.csv
21:16:36,shootout,etk800,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788754610-0002,32.8883,107.90,1.1134,2.29,60.0,32.89,1.113,0.00,0.2,0.1,0.9,0.0,1.136,0.3251,0,96a14840-8590b173-63081,1,19.4,OK,V1.10,DynamicABS,V1.10_DynamicABS_60mph_rep2_1788754610-0002_2khz.csv
21:17:01,shootout,etk800,DynamicABS1.pc,straight,3,60,0.0,0.0,1.0,1788754635-0003,31.9428,104.80,1.1464,2.26,60.0,31.94,1.146,0.00,0.2,0.1,0.9,0.0,1.113,0.3172,0,96a14840-8590b173-63081,1,19.2,OK,V1.10,DynamicABS,V1.10_DynamicABS_60mph_rep3_1788754635-0003_2khz.csv
21:17:26,shootout,etk800,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788754661-0004,125.9298,413.16,1.1643,4.56,120.0,125.93,1.164,0.00,0.2,0.2,2.2,0.0,2.498,0.1961,0,96a14840-8590b173-63081,1,23.0,OK,V1.10,DynamicABS,V1.10_DynamicABS_120mph_rep1_1788754661-0004_2khz.csv
21:17:54,shootout,etk800,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788754690-0005,126.5516,415.20,1.1586,4.58,120.0,126.55,1.159,0.00,0.2,0.2,2.1,0.0,2.477,0.1893,0,96a14840-8590b173-63081,1,22.1,OK,V1.10,DynamicABS,V1.10_DynamicABS_120mph_rep2_1788754690-0005_2khz.csv
21:18:22,shootout,etk800,DynamicABS1.pc,straight,3,120,0.0,0.0,1.0,1788754718-0006,126.4342,414.81,1.1597,4.57,120.0,126.43,1.160,0.00,0.2,0.2,2.1,0.0,2.494,0.1821,0,96a14840-8590b173-63081,1,22.2,OK,V1.10,DynamicABS,V1.10_DynamicABS_120mph_rep3_1788754718-0006_2khz.csv
21:19:11,shootout,etk800,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788754766-0001,32.1392,105.44,1.1394,2.26,60.0,32.14,1.139,0.00,0.2,0.1,0.9,0.0,1.122,0.3189,0,c71b1a18-63bbf815-63560,1,20.7,OK,V1.12,DynamicABS,V1.12_DynamicABS_60mph_rep1_1788754766-0001_2khz.csv
21:19:37,shootout,etk800,DynamicABS1.pc,straight,2,60,0.0,0.0,1.0,1788754791-0002,32.4058,106.32,1.1300,2.28,60.0,32.41,1.130,0.00,0.2,0.1,0.9,0.0,1.144,0.3230,0,c71b1a18-63bbf815-63560,1,19.6,OK,V1.12,DynamicABS,V1.12_DynamicABS_60mph_rep2_1788754791-0002_2khz.csv
21:20:02,shootout,etk800,DynamicABS1.pc,straight,3,60,0.0,0.0,1.0,1788754816-0003,32.2764,105.89,1.1345,2.26,60.0,32.28,1.135,0.00,0.2,0.1,0.9,0.0,1.118,0.3201,0,c71b1a18-63bbf815-63560,1,19.0,OK,V1.12,DynamicABS,V1.12_DynamicABS_60mph_rep3_1788754816-0003_2khz.csv
21:20:27,shootout,etk800,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788754842-0004,124.7952,409.43,1.1749,4.53,120.0,124.80,1.175,0.00,0.2,0.2,2.1,0.0,2.510,0.1900,0,c71b1a18-63bbf815-63560,1,22.7,OK,V1.12,DynamicABS,V1.12_DynamicABS_120mph_rep1_1788754842-0004_2khz.csv
21:20:55,shootout,etk800,DynamicABS1.pc,straight,2,120,0.0,0.0,1.0,1788754872-0005,125.2324,410.87,1.1708,4.54,120.0,125.23,1.171,0.00,0.2,0.2,2.1,0.0,2.517,0.1809,0,c71b1a18-63bbf815-63560,1,23.8,OK,V1.12,DynamicABS,V1.12_DynamicABS_120mph_rep2_1788754872-0005_2khz.csv
