ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,dmg,codekey,tele_files,wall_s,status
15:50:51,straight,StockABS,StockABS1.pc,straight,3,80,0.0,0.0,1.0,1788648663-0002,54.5888,179.10,1.1933,2.99,80.0,54.59,1.193,0.00,0.2,0.2,1.3,0.0,0,,0,16.7,OK
15:51:08,straight,StockABS,StockABS1.pc,straight,3,120,0.0,0.0,1.0,1788648681-0003,122.1268,400.68,1.2006,4.48,120.0,122.13,1.201,0.00,0.3,0.2,2.0,0.0,0,,0,19.2,OK
15:51:27,straight,StockABS,StockABS1.pc,straight,3,160,0.0,0.0,1.0,1788648703-0004,216.7017,710.96,1.2031,6.00,160.0,216.70,1.203,0.00,0.3,0.2,2.9,0.0,0,,0,21.9,OK
15:52:13,straight,DynamicABS,DynamicABS1.pc,straight,4,60,0.0,0.0,1.0,1788648746-0001,30.4373,99.86,1.2031,2.19,60.0,30.44,1.203,0.00,0.2,0.1,1.0,0.0,0,ba2f3327-f04f27a6-108632,1,17.2,OK
15:52:30,straight,DynamicABS,DynamicABS1.pc,straight,4,80,0.0,0.0,1.0,1788648764-0002,53.9241,176.92,1.2080,2.94,80.0,53.92,1.208,0.00,0.2,0.2,1.2,0.0,0,ba2f3327-f04f27a6-108632,1,18.3,OK
15:52:49,straight,DynamicABS,DynamicABS1.pc,straight,4,120,0.0,0.0,1.0,1788648783-0003,121.6932,399.26,1.2049,4.45,120.0,121.69,1.205,0.00,0.2,0.2,2.4,0.0,0,ba2f3327-f04f27a6-108632,1,20.0,OK
15:53:09,straight,DynamicABS,DynamicABS1.pc,straight,4,160,0.0,0.0,1.0,1788648806-0004,215.3136,706.41,1.2108,5.95,160.0,215.32,1.211,0.00,0.3,0.2,3.0,0.0,0,ba2f3327-f04f27a6-108632,1,24.1,OK
15:53:57,straight,StockABS,StockABS1.pc,straight,4,60,0.0,0.0,1.0,1788648850-0001,31.2858,102.64,1.1704,2.25,60.0,31.29,1.170,0.00,0.2,0.2,0.8,0.0,0,,0,16.3,OK
15:54:14,straight,StockABS,StockABS1.pc,straight,4,80,0.0,0.0,1.0,1788648867-0002,54.5928,179.11,1.1932,2.99,80.0,54.59,1.193,0.00,0.2,0.2,1.3,0.0,0,,0,17.1,OK
15:54:31,straight,StockABS,StockABS1.pc,straight,4,120,0.0,0.0,1.0,1788648885-0003,122.2587,401.11,1.1993,4.49,120.0,122.26,1.199,0.00,0.3,0.2,2.0,0.0,0,,0,18.6,OK
15:54:49,straight,StockABS,StockABS1.pc,straight,4,160,0.0,0.0,1.0,1788648906-0004,216.7761,711.21,1.2026,6.00,160.0,216.78,1.203,0.00,0.2,0.2,3.0,0.0,0,,0,22.4,OK
15:55:36,straight,DynamicABS,DynamicABS1.pc,straight,5,60,0.0,0.0,1.0,1788648949-0001,30.4067,99.76,1.2043,2.19,60.0,30.41,1.204,0.00,0.2,0.1,0.9,0.0,0,ba2f3327-f04f27a6-108632,1,18.9,OK
15:55:55,straight,DynamicABS,DynamicABS1.pc,straight,5,80,0.0,0.0,1.0,1788648969-0002,53.9736,177.08,1.2069,2.94,80.0,53.97,1.207,0.00,0.2,0.2,1.4,0.0,0,ba2f3327-f04f27a6-108632,1,18.9,OK
15:56:14,straight,DynamicABS,DynamicABS1.pc,straight,5,120,0.0,0.0,1.0,1788648988-0003,121.6877,399.24,1.2049,4.46,120.0,121.69,1.205,0.00,0.2,0.2,2.2,0.0,0,ba2f3327-f04f27a6-108632,1,19.8,OK
15:56:34,straight,DynamicABS,DynamicABS1.pc,straight,5,160,0.0,0.0,1.0,1788649011-0004,215.0360,705.50,1.2124,5.94,160.0,215.04,1.212,0.00,0.2,0.2,2.8,0.0,0,ba2f3327-f04f27a6-108632,1,24.2,OK
15:57:22,straight,StockABS,StockABS1.pc,straight,5,60,0.0,0.0,1.0,1788649054-0001,31.3797,102.95,1.1669,2.26,60.0,31.38,1.167,0.00,0.2,0.2,0.8,0.0,0,,0,15.5,OK
15:57:38,straight,StockABS,StockABS1.pc,straight,5,80,0.0,0.0,1.0,1788649070-0002,54.6582,179.32,1.1917,2.99,80.0,54.66,1.192,0.00,0.2,0.2,1.2,0.0,0,,0,17.6,OK
15:57:55,straight,StockABS,StockABS1.pc,straight,5,120,0.0,0.0,1.0,1788649089-0003,122.2408,401.05,1.1995,4.49,120.0,122.24,1.199,0.00,0.3,0.2,1.9,0.0,0,,0,18.2,OK
15:58:13,straight,StockABS,StockABS1.pc,straight,5,160,0.0,0.0,1.0,1788649110-0004,216.7483,711.12,1.2028,6.01,160.0,216.75,1.203,0.00,0.2,0.2,3.0,0.0,0,,0,21.7,OK
15:58:59,straight,DynamicABS,DynamicABS1.pc,straight,6,60,0.0,0.0,1.0,1788649152-0001,30.4135,99.78,1.2040,2.19,60.0,30.41,1.204,0.00,0.2,0.1,0.9,0.0,0,ba2f3327-f04f27a6-108632,1,17.0,OK
