ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,speed_factor,measured_factor
12:01:42,speedfactor,roamer,StockABS5.pc,straight,1,120,0.0,0.0,1.0,1788807722-0001,155.9181,511.54,0.9404,5.77,120.0,155.92,0.940,0.00,0.2,0.1,3.2,0.0,1.836,0.3566,0,,0,26.9,OK,1,
12:02:11,speedfactor,roamer,StockABS5.pc,straight,1,120,0.0,0.0,1.0,1788807747-0002,165.9974,544.61,0.8833,5.95,120.0,166.00,0.883,0.00,0.1,0.1,3.0,0.0,1.989,0.3053,0,,0,22.7,OK,32,
12:02:35,speedfactor,roamer,StockABS5.pc,straight,2,120,0.0,0.0,1.0,1788807774-0003,166.2543,545.45,0.8819,5.99,120.0,166.26,0.882,0.00,0.2,0.1,3.1,0.0,1.969,0.3137,0,,0,26.4,OK,1,
12:03:03,speedfactor,roamer,StockABS5.pc,straight,2,120,0.0,0.0,1.0,1788807799-0004,164.5883,539.99,0.8909,5.92,120.0,164.59,0.891,0.00,0.2,0.1,2.9,0.0,1.965,0.2986,0,,0,21.7,OK,32,
12:03:26,speedfactor,roamer,StockABS5.pc,straight,3,120,0.0,0.0,1.0,1788807824-0005,155.9746,511.73,0.9401,5.76,120.0,155.98,0.940,0.00,0.2,0.1,3.4,0.0,1.868,0.3802,0,,0,25.9,OK,1,
12:03:54,speedfactor,roamer,StockABS5.pc,straight,3,120,0.0,0.0,1.0,1788807850-0006,165.2708,542.23,0.8872,5.95,120.0,165.27,0.887,0.00,0.2,0.1,2.9,0.0,1.957,0.2950,0,,0,22.7,OK,32,
12:04:18,speedfactor,roamer,StockABS5.pc,straight,4,120,0.0,0.0,1.0,1788807876-0007,166.5218,546.33,0.8805,5.97,120.0,166.52,0.881,0.00,0.1,0.1,3.1,0.0,1.995,0.3060,0,,0,25.4,OK,1,
12:04:45,speedfactor,roamer,StockABS5.pc,straight,4,120,0.0,0.0,1.0,1788807901-0008,155.2425,509.33,0.9445,5.74,120.0,155.24,0.944,0.00,0.1,0.1,2.9,0.0,1.810,0.3305,0,,0,22.8,OK,32,
12:05:09,speedfactor,roamer,StockABS5.pc,straight,5,120,0.0,0.0,1.0,1788807927-0009,165.8177,544.02,0.8843,5.98,120.0,165.82,0.884,0.00,0.2,0.1,3.0,0.0,1.973,0.3045,0,,0,25.9,OK,1,
12:05:37,speedfactor,roamer,StockABS5.pc,straight,5,120,0.0,0.0,1.0,1788807953-0010,165.5948,543.29,0.8854,5.96,120.0,165.60,0.885,0.00,0.2,0.1,3.0,0.0,1.980,0.3037,0,,0,22.7,OK,32,
12:06:01,speedfactor,roamer,StockABS5.pc,straight,6,120,0.0,0.0,1.0,1788807979-0011,167.5446,549.69,0.8751,6.00,120.0,167.55,0.875,0.00,0.1,0.1,2.9,0.0,1.977,0.2901,0,,0,26.0,OK,1,
12:06:28,speedfactor,roamer,StockABS5.pc,straight,6,120,0.0,0.0,1.0,1788808005-0012,156.8212,514.51,0.9350,5.79,120.0,156.82,0.935,0.00,0.1,0.1,3.0,0.0,1.831,0.3287,0,,0,22.4,OK,32,
12:06:52,speedfactor,roamer,StockABS5.pc,straight,7,120,0.0,0.0,1.0,1788808030-0013,155.9364,511.60,0.9403,5.76,120.0,155.94,0.940,0.00,0.2,0.1,3.2,0.0,1.866,0.3520,0,,0,25.6,OK,1,
12:07:20,speedfactor,roamer,StockABS5.pc,straight,7,120,0.0,0.0,1.0,1788808056-0014,166.7387,547.04,0.8794,5.98,120.0,166.74,0.879,0.00,0.2,0.1,3.0,0.0,2.037,0.2999,0,,0,22.3,OK,32,
12:07:43,speedfactor,roamer,StockABS5.pc,straight,8,120,0.0,0.0,1.0,1788808081-0015,165.2132,542.04,0.8875,5.96,120.0,165.21,0.887,0.00,0.1,0.1,2.9,0.0,1.970,0.2883,0,,0,25.2,OK,1,
12:08:10,speedfactor,roamer,StockABS5.pc,straight,8,120,0.0,0.0,1.0,1788808107-0016,166.8043,547.26,0.8790,5.98,120.0,166.81,0.879,0.00,0.1,0.1,3.0,0.0,1.973,0.2995,0,,0,23.2,OK,32,
12:08:35,speedfactor,roamer,StockABS5.pc,straight,9,120,0.0,0.0,1.0,1788808133-0017,167.0343,548.01,0.8778,5.97,120.0,167.04,0.878,0.00,0.1,0.1,2.9,0.0,1.978,0.2944,0,,0,25.4,OK,1,
12:09:02,speedfactor,roamer,StockABS5.pc,straight,9,120,0.0,0.0,1.0,1788808158-0018,166.9958,547.89,0.8780,5.98,120.0,167.00,0.878,0.00,0.1,0.1,2.9,0.0,1.989,0.2867,0,,0,22.6,OK,32,
12:09:26,speedfactor,roamer,StockABS5.pc,straight,10,120,0.0,0.0,1.0,1788808183-0019,166.2613,545.48,0.8819,5.98,120.0,166.26,0.882,0.00,0.1,0.1,3.0,0.0,1.973,0.3062,0,,0,25.3,OK,1,
12:09:53,speedfactor,roamer,StockABS5.pc,straight,10,120,0.0,0.0,1.0,1788808210-0020,165.0994,541.66,0.8881,5.95,120.0,165.10,0.888,0.00,0.1,0.1,2.9,0.0,1.953,0.2931,0,,0,23.4,OK,32,
